customer_id,annual_income,num_children,num_teenagers,signup_date,days_since_last_purchase,has_recent_complaint,spend_wine,spend_fruits,spend_meat,spend_fish,spend_sweets,spend_gold,num_discount_purchases,num_web_purchases,num_catalog_purchases,num_store_purchases,web_visits_last_month,accepted_campaign_1,accepted_campaign_2,accepted_campaign_3,accepted_campaign_4,accepted_campaign_5,accepted_last_campaign,Age,days_since_signup,education_level_Master,education_level_PhD,education_level_Primary,education_level_Secondary,education_level_Unknown,marital_status_Married,marital_status_Partnership,marital_status_Single,marital_status_Widow,cluster_kmeans
1994,51411.0,1,0,2013-11-15,11,0,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,42,4388,0,0,0,0,0,1,0,0,0,0
387,7500.0,0,0,2012-11-13,59,0,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,49,4755,0,0,1,0,0,1,0,0,0,0
2125,63033.0,0,0,2013-11-15,82,0,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,66,4388,0,0,0,0,0,0,0,0,0,1
8180,59354.0,1,1,2013-11-15,53,0,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,73,4388,1,0,0,0,0,0,0,0,0,2
2569,17323.0,0,0,2012-10-10,38,0,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,38,4789,0,0,0,0,0,1,0,0,0,0
2114,82800.0,0,0,2012-11-24,23,0,1006,22,115,59,68,45,1,7,6,12,3,1,0,0,0,1,1,79,4744,0,1,0,0,0,0,0,1,0,1
9736,41850.0,1,1,2012-12-24,51,0,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,45,4714,0,0,0,0,0,1,0,0,0,0
4939,37760.0,0,0,2012-08-31,20,0,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,79,4829,0,0,0,0,0,0,1,0,0,2
6565,76995.0,0,1,2013-03-28,91,0,1012,80,498,0,16,176,2,11,4,9,5,1,0,0,0,0,0,76,4620,1,0,0,0,0,1,0,0,0,1
2278,33812.0,1,0,2012-11-03,86,0,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,40,4765,0,0,0,1,0,0,0,1,0,0
9360,37040.0,0,0,2012-08-08,41,0,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,43,4852,0,0,0,0,0,1,0,0,0,2
5376,2447.0,1,0,2013-01-06,42,0,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,46,4701,0,0,0,0,0,1,0,0,0,2
1993,58607.0,0,1,2012-12-23,63,0,867,0,86,0,0,19,3,2,3,9,8,0,0,0,1,0,0,76,4715,0,1,0,0,0,1,0,0,0,2
4047,65324.0,0,1,2014-01-11,0,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,71,4331,0,1,0,0,0,1,0,0,0,2
1409,40689.0,0,0,2013-03-18,69,0,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,74,4630,0,0,0,0,0,0,1,0,0,2
7892,18589.0,0,0,2013-01-02,89,0,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,56,4705,0,0,0,0,0,0,0,1,0,0
2404,53359.0,1,1,2013-05-27,4,0,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,49,4560,0,0,0,0,0,1,0,0,0,2
5255,51411.0,1,0,2013-02-20,19,0,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,39,4656,0,0,0,0,0,0,0,1,0,2
9422,38360.0,1,0,2013-05-31,26,0,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,36,4556,0,0,0,0,0,1,0,0,0,0
1966,84618.0,0,0,2013-11-22,96,0,684,100,801,21,66,0,1,6,9,10,2,0,0,0,0,1,0,60,4381,0,1,0,0,0,1,0,0,0,1
6864,10979.0,0,0,2014-05-22,34,0,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,36,4200,1,0,0,0,0,0,0,0,0,0
3033,38620.0,0,0,2013-05-11,56,0,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,62,4576,1,0,0,0,0,0,1,0,0,2
5710,40548.0,0,1,2012-10-10,31,0,110,0,5,2,0,3,2,2,1,4,5,0,0,0,1,0,0,55,4789,0,0,0,0,0,0,1,0,0,0
7373,46610.0,0,2,2012-10-29,8,0,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,1,73,4770,0,1,0,0,0,0,0,0,0,2
8755,68657.0,0,0,2013-02-20,4,0,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,79,4656,1,0,0,0,0,1,0,0,0,1
10738,49389.0,1,1,2013-08-29,55,0,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,74,4466,1,0,0,0,0,0,0,1,0,0
4339,67353.0,0,1,2013-12-31,37,0,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,55,4342,0,1,0,0,0,1,0,0,0,2
10755,23718.0,1,0,2013-09-02,76,0,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,49,4462,0,0,0,1,0,1,0,0,0,0
8595,42429.0,0,1,2014-02-11,99,0,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,52,4300,0,0,0,0,0,0,0,0,1,0
2968,48948.0,0,0,2013-02-01,53,0,437,8,206,160,49,42,2,7,10,5,6,0,0,1,0,0,1,82,4675,0,1,0,0,0,0,0,0,0,1
8601,80011.0,0,1,2013-04-29,3,0,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,45,4588,0,0,0,0,0,1,0,0,0,1
503,20559.0,1,0,2013-03-12,88,0,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,40,4636,1,0,0,0,0,1,0,0,0,0
8430,21994.0,0,1,2012-12-24,4,0,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,68,4714,0,0,0,0,0,0,1,0,0,0
7281,51411.0,0,0,2013-11-05,80,0,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,66,4398,0,1,0,0,0,0,0,1,0,0
2139,7500.0,1,0,2013-10-02,19,0,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,50,4432,1,0,0,0,0,1,0,0,0,0
1371,79941.0,0,0,2014-06-28,72,0,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,49,4163,0,0,0,0,0,0,0,1,0,1
9909,7500.0,0,0,2012-11-09,24,0,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,1,29,4759,0,0,0,1,0,1,0,0,0,0
7286,41728.0,1,0,2013-05-24,92,0,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,57,4563,0,0,0,0,0,0,1,0,0,0
7244,51411.0,2,1,2014-01-01,96,0,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,74,4341,0,0,0,0,0,0,0,1,0,0
6566,72550.0,1,1,2012-11-08,39,0,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,71,4760,0,1,0,0,0,1,0,0,0,2
8614,65486.0,0,1,2014-05-12,29,0,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,68,4210,0,0,0,0,0,0,0,0,1,1
4114,79143.0,0,0,2012-08-11,2,0,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,61,4849,1,0,0,0,0,1,0,0,0,1
1331,35790.0,1,0,2013-01-02,54,0,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,48,4705,0,0,0,0,0,0,0,1,0,0
2225,82582.0,0,0,2014-06-07,54,0,510,120,550,156,40,241,1,4,9,7,1,1,0,1,0,0,1,48,4184,0,0,0,0,0,0,0,0,0,1
9381,66373.0,1,1,2013-06-12,57,0,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,47,4544,0,0,0,0,0,1,0,0,0,2
6260,82384.0,0,0,2012-11-19,55,0,984,51,432,180,120,190,1,3,10,13,1,0,0,0,0,1,1,70,4749,1,0,0,0,0,0,1,0,0,1
10383,70287.0,0,0,2013-04-02,30,0,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,1,59,4615,0,0,0,0,0,0,0,0,0,1
7437,27938.0,1,0,2014-04-28,31,0,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,37,4224,0,0,0,0,0,0,0,1,0,0
8557,51411.0,1,0,2013-06-17,57,0,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,43,4539,0,0,0,0,0,0,0,1,0,0
8375,55954.0,0,1,2014-03-03,63,0,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,57,4280,0,1,0,0,0,1,0,0,0,2
6853,75777.0,0,0,2013-07-04,12,0,712,26,538,69,13,80,1,3,6,11,1,0,0,0,1,1,1,43,4522,1,0,0,0,0,0,0,1,0,1
3076,66653.0,1,1,2012-09-07,18,0,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,50,4822,0,0,0,0,0,0,1,0,0,2
1012,61823.0,0,1,2013-02-18,26,0,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,73,4658,0,0,0,0,0,0,0,1,0,2
6518,67680.0,0,1,2013-06-11,8,0,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,74,4545,0,1,0,0,0,0,0,0,1,2
4137,70666.0,0,0,2013-12-06,29,0,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,77,4367,0,0,0,0,0,0,1,0,0,1
8082,25721.0,1,0,2013-05-21,75,0,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,1,54,4566,0,0,0,0,0,1,0,0,0,0
1386,32474.0,1,1,2014-05-11,0,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,58,4211,0,0,0,0,0,0,1,0,0,0
9369,88194.0,0,1,2014-03-19,19,0,688,14,309,201,24,38,1,11,10,10,5,1,0,1,0,0,1,46,4264,0,0,0,1,0,0,0,1,0,1
4477,69096.0,0,1,2013-09-27,4,0,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,67,4437,0,0,0,0,0,0,1,0,0,1
1357,74854.0,1,2,2013-04-08,90,0,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,55,4609,0,0,0,0,1,0,1,0,0,1
1402,66991.0,0,0,2012-09-11,1,0,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,71,4818,1,0,0,0,0,1,0,0,0,1
10629,51411.0,1,0,2012-09-14,25,0,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,52,4815,0,0,0,1,0,1,0,0,0,0
6312,65031.0,0,1,2013-03-17,29,0,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,66,4631,0,0,0,0,0,1,0,0,0,1
8132,60631.0,1,1,2013-04-05,88,0,565,6,65,0,6,19,5,9,2,8,7,0,0,0,1,0,0,50,4612,0,1,0,0,0,1,0,0,0,2
1050,28332.0,0,0,2014-04-30,58,0,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,73,4222,0,0,0,0,0,1,0,0,0,0
5846,40246.0,1,0,2012-12-19,68,0,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,48,4719,0,0,0,0,0,0,0,0,0,0
1859,75251.0,0,0,2012-08-27,34,0,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,1,53,4833,1,0,0,0,0,1,0,0,0,1
7503,75825.0,0,0,2012-10-12,40,0,1032,105,779,137,105,51,0,5,8,9,4,0,0,1,0,0,1,49,4787,0,0,0,0,0,0,0,1,0,1
10401,26326.0,0,0,2013-09-04,12,1,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,0,49,4460,0,0,0,1,0,0,1,0,0,0
1618,56046.0,0,0,2013-01-02,9,0,577,0,64,0,0,51,2,10,1,8,8,0,0,1,0,0,1,60,4705,0,0,0,0,0,0,1,0,0,2
3332,29760.0,1,0,2012-08-29,87,0,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,40,4831,0,0,0,0,0,0,0,1,0,2
2261,26304.0,1,0,2013-06-23,5,0,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,56,4533,0,0,0,0,0,1,0,0,0,0
5346,23559.0,1,0,2013-07-03,87,0,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,52,4523,0,0,0,1,0,1,0,0,0,0
4119,38620.0,0,0,2013-05-11,56,0,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,62,4576,1,0,0,0,0,0,1,0,0,2
535,81361.0,0,0,2014-02-25,18,0,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,38,4286,0,0,0,0,0,0,0,0,0,1
5268,29440.0,1,1,2013-08-11,95,0,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,65,4484,0,0,0,0,0,1,0,0,0,0
273,36138.0,1,1,2013-07-16,48,0,130,0,16,0,0,5,5,3,1,4,7,0,0,0,1,0,0,55,4510,1,0,0,0,0,1,0,0,0,0
4452,50388.0,0,1,2014-05-28,3,0,292,6,37,0,3,34,4,6,1,6,7,1,0,0,1,0,1,68,4194,0,0,0,0,0,0,0,1,0,2
8504,79593.0,0,0,2014-05-12,70,0,350,60,568,110,133,145,1,5,6,7,2,0,0,0,0,1,0,52,4210,0,0,0,0,0,1,0,0,0,1
771,54178.0,0,1,2014-01-21,79,0,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,58,4321,0,0,0,0,0,0,1,0,0,0
8996,51411.0,2,1,2012-11-19,4,0,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,68,4749,0,1,0,0,0,1,0,0,0,2
9235,51411.0,1,1,2014-05-27,45,0,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,68,4195,0,0,0,0,0,0,0,1,0,0
5798,51411.0,0,0,2013-11-23,87,0,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,52,4380,1,0,0,0,0,0,1,0,0,1
11178,42394.0,1,0,2014-03-23,69,0,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,53,4260,1,0,0,0,0,0,0,1,0,0
2230,23626.0,1,0,2014-05-24,84,0,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,55,4198,0,1,0,0,0,1,0,0,0,0
7516,30096.0,1,0,2014-05-22,30,0,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,42,4200,0,0,0,0,0,1,0,0,0,0
7247,47916.0,0,1,2012-11-22,72,0,505,0,26,0,0,75,5,7,4,6,6,0,0,0,1,0,0,65,4746,0,0,0,0,0,0,0,0,1,2
11100,51813.0,1,1,2013-04-11,37,0,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,53,4606,0,0,0,0,0,0,0,0,0,0
4646,78497.0,0,0,2013-12-01,44,0,207,26,447,75,0,223,1,5,7,12,2,1,0,0,0,0,0,74,4372,0,0,0,1,0,1,0,0,0,1
3037,50150.0,0,0,2013-06-20,32,0,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,42,4536,0,1,0,0,0,1,0,0,0,1
1473,47823.0,0,1,2013-07-23,0,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,65,4503,0,0,0,1,0,0,0,1,0,0
1016,34554.0,0,1,2014-03-30,43,0,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,66,4253,0,1,0,0,0,0,0,1,0,0
4518,85693.0,0,1,2013-04-20,59,0,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,46,4597,0,0,0,0,0,0,1,0,0,1
9370,65846.0,0,0,2013-05-17,68,0,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,80,4570,0,1,0,0,0,1,0,0,0,1
8908,87195.0,0,0,2014-05-08,35,0,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,1,66,4214,0,0,0,0,0,1,0,0,0,1
8373,24594.0,1,0,2013-12-10,94,0,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,46,4363,0,0,1,0,0,0,1,0,0,0
7533,49096.0,1,1,2013-09-24,15,0,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,61,4440,0,0,0,0,0,1,0,0,0,0
2683,52413.0,0,2,2013-02-02,56,0,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,56,4674,0,0,0,0,0,1,0,0,0,1
3629,38557.0,1,0,2012-12-19,17,0,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,47,4719,0,0,0,0,0,0,0,1,0,0
10991,51411.0,0,0,2012-12-07,18,0,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,65,4731,1,0,0,0,0,1,0,0,0,1
5077,77298.0,0,1,2013-11-02,46,0,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,46,4401,0,0,0,0,0,0,1,0,0,1
7431,68126.0,0,0,2012-11-10,40,0,1332,17,311,23,51,86,1,7,4,5,9,0,0,0,1,0,1,34,4758,0,1,0,0,0,0,0,1,0,1
3267,57288.0,0,1,2014-06-25,27,0,527,0,21,0,0,60,3,8,1,8,6,0,0,0,1,0,0,62,4166,1,0,0,0,0,0,1,0,0,2
999,86037.0,0,0,2013-01-02,95,0,490,44,125,29,20,22,1,6,7,11,3,0,0,0,1,1,1,34,4705,0,0,0,0,0,0,0,1,0,1
9215,43974.0,1,0,2012-12-12,19,0,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,45,4726,0,1,0,0,0,1,0,0,0,2
2286,50785.0,1,1,2013-09-10,27,0,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,63,4454,0,0,0,0,0,0,0,1,0,0
1592,90765.0,0,0,2014-01-24,25,0,547,99,812,151,82,33,0,4,6,5,1,1,0,0,0,1,0,55,4318,0,0,0,0,0,1,0,0,0,1
367,36550.0,1,0,2013-02-19,74,0,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,47,4657,0,0,0,1,0,1,0,0,0,2
5234,30753.0,1,1,2013-07-11,85,0,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,58,4515,0,0,0,1,0,0,1,0,0,0
9862,21918.0,1,0,2013-11-14,37,0,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,56,4389,0,0,0,0,0,0,1,0,0,0
9805,56129.0,0,1,2013-06-20,65,0,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,72,4536,1,0,0,0,0,0,1,0,0,1
6205,32557.0,1,0,2014-02-24,13,0,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,1,58,4287,1,0,0,0,0,0,0,1,0,0
8442,19510.0,2,0,2013-09-04,63,0,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,40,4460,1,0,0,0,0,1,0,0,0,0
7386,30992.0,1,0,2013-04-22,83,0,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,49,4595,0,0,0,0,0,0,0,0,0,0
7215,101970.0,0,0,2013-03-12,69,0,722,27,102,44,72,168,0,6,8,13,2,1,0,0,1,1,1,42,4636,0,0,0,0,0,0,0,1,0,1
1491,71488.0,0,0,2013-02-18,87,0,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,60,4658,0,0,0,1,0,0,1,0,0,1
11071,79607.0,0,0,2013-04-21,37,0,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,1,41,4596,0,0,0,0,0,0,0,1,0,1
3381,54348.0,1,1,2014-06-08,51,0,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,72,4183,1,0,0,0,0,1,0,0,0,0
8268,51411.0,0,1,2013-07-11,23,0,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,64,4515,0,1,0,0,0,1,0,0,0,2
11051,77376.0,1,1,2014-05-10,72,0,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,69,4212,0,1,0,0,0,0,1,0,0,2
8026,62998.0,0,1,2013-09-30,10,0,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,73,4434,0,0,0,0,0,1,0,0,0,1
433,61331.0,1,1,2013-03-10,42,0,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,67,4638,1,0,0,0,0,0,0,1,0,2
9597,73448.0,0,0,2014-02-10,10,0,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,56,4301,0,0,0,0,0,1,0,0,0,1
1295,51411.0,0,1,2013-08-11,96,0,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,62,4484,0,0,0,0,0,1,0,0,0,1
5290,41551.0,1,1,2013-08-14,51,0,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,61,4481,0,1,0,0,0,1,0,0,0,2
1685,62981.0,0,0,2013-03-17,21,0,796,14,590,38,44,0,1,4,5,13,3,0,0,0,1,0,0,58,4631,0,1,0,0,0,0,1,0,0,1
5342,9548.0,1,0,2012-08-08,31,0,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,49,4852,0,0,1,0,0,0,0,0,0,0
9579,33762.0,2,1,2013-07-07,61,0,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,66,4519,0,1,0,0,0,1,0,0,0,0
7660,35860.0,1,1,2014-05-19,37,0,15,0,8,4,2,20,2,1,1,2,5,0,0,1,0,0,1,52,4203,0,1,0,0,0,0,0,1,0,0
1461,36921.0,1,1,2013-07-28,74,0,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,60,4498,0,1,0,0,0,0,0,0,0,0
821,92859.0,0,0,2012-10-19,46,0,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,33,4780,1,0,0,0,0,0,0,1,0,1
11084,65104.0,0,1,2013-11-14,4,0,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,1,49,4389,1,0,0,0,0,0,1,0,0,2
8690,86111.0,0,0,2013-04-19,73,0,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,63,4598,0,0,0,0,0,1,0,0,0,1
2937,68352.0,0,1,2013-08-28,47,0,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,51,4467,0,1,0,0,0,0,0,1,0,1
9701,51411.0,1,0,2013-03-19,13,0,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,37,4629,0,0,0,0,0,0,1,0,0,2
9949,59809.0,0,2,2012-10-18,36,0,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,49,4781,0,0,0,0,0,1,0,0,0,1
10837,23957.0,1,0,2012-10-28,47,0,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,1,50,4771,0,0,0,0,0,1,0,0,0,0
3120,38547.0,1,0,2013-08-28,49,1,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,0,44,4467,0,0,0,0,0,0,1,0,0,0
5885,35688.0,2,1,2012-08-22,94,0,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,52,4838,0,0,0,1,0,1,0,0,0,2
4050,49605.0,0,0,2014-06-21,65,0,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,59,4170,1,0,0,0,0,1,0,0,0,0
3830,59354.0,0,2,2014-04-24,59,0,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,72,4228,1,0,0,0,0,1,0,0,0,1
7987,65747.0,0,1,2014-03-07,96,0,346,17,48,23,13,13,4,8,1,6,6,0,0,0,1,0,0,56,4276,0,0,0,0,0,1,0,0,0,2
7798,46344.0,0,1,2012-12-14,28,0,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,53,4724,0,0,0,1,0,0,1,0,0,2
92,34176.0,1,0,2014-05-12,12,0,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,37,4210,0,0,0,0,0,0,0,1,0,0
7055,61010.0,0,1,2012-10-09,57,0,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,73,4790,0,1,0,0,0,0,1,0,0,2
10240,69372.0,0,0,2013-02-19,10,0,997,26,269,34,13,42,1,10,4,6,4,0,0,0,1,1,1,76,4657,0,0,0,0,0,0,1,0,0,1
3025,49967.0,0,1,2013-07-08,4,0,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,67,4518,0,0,0,0,0,0,0,1,0,2
9283,60199.0,1,2,2013-09-12,49,0,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,47,4452,0,0,0,0,0,0,0,1,0,0
9970,55375.0,0,1,2013-10-17,3,0,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,48,4417,0,0,0,0,0,0,1,0,0,0
2730,80317.0,0,0,2013-08-20,64,0,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,70,4475,0,0,0,0,0,0,0,1,0,1
2795,30523.0,2,1,2013-07-01,0,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,67,4525,1,0,0,0,0,0,0,1,0,0
9260,70356.0,0,0,2012-11-05,20,0,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,80,4763,0,1,0,0,0,1,0,0,0,1
8182,23228.0,1,0,2014-01-05,91,0,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,41,4337,0,0,0,0,0,1,0,0,0,0
